"Boss","Counter","Type","Fast Attack","Charged Attack"
"Muk","Rhydon","Supreme","Mud Slap","Earthquake"
"Muk","Golem","Supreme","Mud Slap","Earthquake"
"Muk","Golem","Supreme","Mud Shot","Earthquake"
"Muk","Dragonite","Good","Dragon Tail","Outrage"
"Muk","Dragonite","Good","Dragon Tail","Hurricane"
"Muk","Dragonite","Good","Dragon Tail","Dragon Claw"
"Muk","Dragonite","Good","Dragon Breath","Outrage"
"Muk","Dragonite","Good","Dragon Breath","Hurricane"
"Muk","Dragonite","Good","Dragon Breath","Dragon Claw"
"Muk","Espeon","Good","Confusion","Future Sight"
"Muk","Espeon","Good","Zen Headbutt","Future Sight"
"Muk","Alakazam","Good","Confusion","Future Sight"
"Muk","Alakazam","Good","Psycho Cut","Future Sight"
"Muk","Gengar","Good","Shadow Claw","Shadow Ball"
"Muk","Gengar","Good","Hex","Shadow Ball"
"Muk","Gengar","Good","Sucker Punch","Shadow Ball"
"Muk","Exeggutor","Glass","Confusion","Psychic"
"Muk","Exeggutor","Glass","Extrasensory","Psychic"
"Exeggutor","Scizor","Supreme","Fury Cutter","X-Scissor"
"Exeggutor","Pinsir","Good","Fury Cutter","X-Scissor"
"Exeggutor","Pinsir","Good","Bug Bite","X-Scissor"
"Exeggutor","Flareon","Good","Fire Spin","Overheat"
"Exeggutor","Flareon","Good","Fire Spin","Flamethrower"
"Exeggutor","Arcanine","Good","Fire Fang","Flamethrower"
"Exeggutor","Charizard","Good","Fire Spin","Overheat"
"Exeggutor","Charizard","Good","Fire Spin","Flamethrower"
"Exeggutor","Charizard","Good","Air Slash","Overheat"
"Exeggutor","Charizard","Good","Air Slash","Flamethrower"
"Exeggutor","Charizard","Good","Wing Attack","Overheat"
"Exeggutor","Charizard","Good","Wing Attack","Flamethrower"
"Exeggutor","Typhlosion","Good","Ember","Overheat"
"Exeggutor","Typhlosion","Good","Shadow Claw","Overheat"
"Exeggutor","Houndoom","Good","Snarl","Foul Play"
